UK;Artist;Title;SalonDate;SalonNumber;MedalClass;Genre;Technique;Format (WxL);CurrentLocation
305;Achard, Jean-Alexis;Vue prise aux environs de Grenoble;1848;6;Rappel of 2nd class medal;Landscape;;;
302;Achard, Jean-Alexis;Moulin aux environs de Crémieu (Isère);1848;7;Rappel of 2nd class medal;Landscape;;;
306;Achard, Jean-Alexis;Vue prise sur la route de Crémieu à Saint-Julien (Isère);1848;8;Rappel of 2nd class medal;Landscape;;;
304;Achard, Jean-Alexis;Vue de la gorge de la Fusa, à Crémieu;1848;9;Rappel of 2nd class medal;Landscape;;;
303;Achard, Jean-Alexis;Rochers aux environs de Crémieu;1848;10;Rappel of 2nd class medal;Landscape;;;
19;Achenbach, Oswald;Le môle de Naples;1859;12;3rd class medal;Landscape;Oil on canvas;172cm x 108cm;Paris, musée d'Orsay
20;Achenbach, Oswald;Fête religieuse et convoi funèbre à Palestrina, près Rome;1861;10;2nd class medal;Genre Painting;Oil on canvas;108cm x 135cm;
21;Achenbach, Oswald;Pèlerins des Abruzzes surpris par l’orage, vue prise à Civita-Castellana;1861;11;2nd class medal;Genre Painting;;;
2602;Achenbach, Oswald;"Bords de la mer à Naples ; soleil couchant";1863;;Rappel of 2nd class medal;Landscape;;;
2603;Achenbach, Oswald;"Le Môle de Naples ; soleil couchant";1863;;Rappel of 2nd class medal;Landscape;;;
2604;Achenbach, Oswald;Ruines du palais de la reine Jeanne, à Naples. Effet du soir;1863;;Rappel of 2nd class medal;Landscape;;;
521;Adan, Louis-Émile;Un dernier jour de vente;1875;6;3rd class medal;Genre Painting;;;
22;Alma Tadema, Lawrence;Les Egyptiens de la XVIIIe dynastie;1864;29;Unique medal;History Painting;Oil on canvas;135cm x 99cm;Preston, Harris Museum and Art Gallery
312;Anastasi, Auguste;Pacage du Calvados;1848;52;2nd class medal;Landscape;;;
308;Anastasi, Auguste;Bords de la Touque;1848;53;2nd class medal;Landscape;;;
309;Anastasi, Auguste;"Etude près la mare aux Corneilles, forêt de Fontainebleau ; effet d'automne";1848;54;2nd class medal;Landscape;;;
307;Anastasi, Auguste;"Allée de parc ; étude d'après nature";1848;55;2nd class medal;Landscape;;;
315;Anastasi, Auguste;"Une lande ; étude prise à Fontainebleau";1848;56;2nd class medal;Landscape;Oil on wood;74cm x 52cm;Besançon, musée des beaux-arts
311;Anastasi, Auguste;"Intérieur de forêt ; étude";1848;57;2nd class medal;Landscape;;;
313;Anastasi, Auguste;"Passage de la Dive (en Normandie) ; effet du matin";1848;58;2nd class medal;Landscape;;;
314;Anastasi, Auguste;"Saulée ; étude";1848;59;2nd class medal;Landscape;;;
310;Anastasi, Auguste;"Forêt de charmes ; étude en automne";1848;60;2nd class medal;Landscape;;;
317;Anastasi, Auguste;Saison des foins;1852;13;3rd class medal;Landscape;;;
316;Anastasi, Auguste;La Seine à Chatou;1852;14;3rd class medal;Landscape;;;
319;Anastasi, Auguste;Rome : le Forum au soleil couchant;1865;35;Unique medal;Landscape;Oil on canvas;183cm x 95cm;Angers, musée des beaux-arts
318;Anastasi, Auguste;Rome : bords du Tibre;1865;36;Unique medal;Landscape;;;
23;Anker, Albert;Dans les bois;1866;27;Unique medal;Genre Painting;Oil on canvas;145cm x 84cm;Lille, palais des Beaux-arts
24;Anker, Albert;La leçon d’écriture;1866;28;Unique medal;Genre Painting;;;
320;Antigna, Alexandre;L'éclair;1848;94;2nd class medal;Genre Painting;Oil on canvas;170cm x 222cm;Paris, musée d'Orsay
321;Antigna, Alexandre;Le matin;1848;95;2nd class medal;Genre Painting;;;
323;Antigna, Alexandre;Leçon de lecture;1848;96;2nd class medal;Genre Painting;;;
322;Antigna, Alexandre;Le soir;1848;97;2nd class medal;Genre Painting;;;
324;Antigna, Alexandre;Scène d'atelier;1848;98;2nd class medal;Genre Painting;Oil on canvas;32cm x 40cm;
326;Antigna, Alexandre;Portrait de Mme ***;1848;99;2nd class medal;Portrait;;;
325;Antigna, Alexandre;Idem [Portrait] de M. V…;1848;100;2nd class medal;Portrait;;;
329;Antigna, Alexandre;Incendie;1850-1851;40;1st class medal;Genre Painting;Oil on canvas;282cm x 262cm;Orléans, musée des beaux-arts
328;Antigna, Alexandre;Enfants dans les blés;1850-1851;41;1st class medal;Genre Painting;;;
331;Antigna, Alexandre;L'hiver;1850-1851;42;1st class medal;Genre Painting;;;
327;Antigna, Alexandre;Départ pour l’école;1850-1851;43;1st class medal;Genre Painting;;;
332;Antigna, Alexandre;Sortie de l’école;1850-1851;44;1st class medal;Genre Painting;;;
333;Antigna, Alexandre;Un bas-bleu;1850-1851;45;1st class medal;Genre Painting;;;
330;Antigna, Alexandre;Jeune fille abandonnée;1850-1851;46;1st class medal;Genre Painting;;;
522;Apoil, Estelle;Fleurs;1848;103;2nd class medal;Still Life;;;
524;Apoil, Estelle;Idem [Fleurs];1848;104;2nd class medal;Still Life;;;
523;Apoil, Estelle;Fruits;1848;105;2nd class medal;Still Life;;;
335;Appian, Adolphe;"Temps gris ; marais de la Burbanche (Ain)";1868;45;Unique medal;Landscape;Oil on canvas;134cm x 72cm;Lyon, musée des beaux-arts
334;Appian, Adolphe;Bords du Furan en octobre, à Rossillon (Ain);1868;46;Unique medal;Landscape;;;
525;Armand-Dumaresq, Édouard;Un épisode de la bataille de Solferino;1861;83;1st class medal;History Painting;Oil on canvas;580cm x 325cm;Paris, Ecole Supérieure de Guerre
526;Armand-Dumaresq, Édouard;Charge de la division Desvaux à Solferino;1863;53;Rappel of 1st class medal;History Painting;;;
527;Aubert, Jean;Confidence;1861;85;3rd class medal;Genre Painting;Oil on canvas;75cm x 130cm;
529;Aubert, Jean;Portrait du général lord H…;1861;86;3rd class medal;Portrait;;;
528;Aubert, Jean;Portrait de Mlle M…;1861;87;3rd class medal;Portrait;;;
530;Aubert, Jean;La leçon d’astronomie;1878;60;2nd class medal;Genre Painting;;;
531;Aubert, Jean;L’Amour marchand de miroirs;1878;61;2nd class medal;History Painting;;;
532;Aublet, Albert;Portrait de Mme la baronne de B…;1880;99;3rd class medal;Portrait;Oil on canvas;116cm x 200cm;
533;Aublet, Albert;Henri de Guise chez Henri III le 9 mai 1588;1880;100;3rd class medal;History Painting;Oil on canvas;122cm x 92cm;
534;Auguin, Louis-Auguste;"A travers champs ; matinée de septembre";1880;104;3rd class medal;Landscape;Oil on canvas;260cm x 190cm;
535;Auguin, Louis-Auguste;Solitude (Limousin);1880;105;3rd class medal;Landscape;Oil on canvas;200cm x 150cm;
545;Aze, Adolphe;Philippe II, roi d’Espagne, reconnaissant Don Juan d’Autriche pour son frère;1863;63;Rappel of 3rd class medal;History Painting;;;
543;Aze, Adolphe;Un conseil de cardinaux;1850-1851;64;3rd class medal;Genre Painting;;;
544;Aze, Adolphe;Une femme au travail;1850-1851;65;3rd class medal;Genre Painting;;;
542;Aze, Adolphe;Portrait de Mme C...;1850-1851;66;3rd class medal;Portrait;;;
539;Aze, Adolphe;Idem [Portrait] de M. L...;1850-1851;67;3rd class medal;Portrait;;;
537;Aze, Adolphe;Idem [Portrait] de M. G…;1850-1851;68;3rd class medal;Portrait;;;
540;Aze, Adolphe;Idem [Portrait] de M. V…;1850-1851;69;3rd class medal;Portrait;;;
538;Aze, Adolphe;Idem [Portrait] de M. H. B…;1850-1851;70;3rd class medal;Portrait;;;
541;Aze, Adolphe;Portrait de chien;1850-1851;71;3rd class medal;Genre Painting;;;
536;Aze, Adolphe;Idem idem [Portrait de chien];1850-1851;72;3rd class medal;Genre Painting;;;
546;Baader, Louis-Marie;Héro et Léandre;1866;55;Unique medal;History Painting;Oil on canvas;180cm x 106cm;Grenoble, musée des beaux-arts
547;Baader, Louis-Marie;Naïade;1866;56;Unique medal;History Painting;Oil on canvas;150cm x 130cm;Morlaix, musée des Jacobins
548;Baader, Louis-Marie;La gloire posthume;1874;58;3rd class medal;History Painting;;;Roanne, tribunal de commerce
550;Badin, Jules;Portrait de M.E.S...;1877;85;3rd class medal;Portrait;;;
549;Badin, Jules;Portrait de Lilie;1877;86;3rd class medal;Portrait;;;
551;Ballavoine, Jules;La séance interrompue;1880;148;3rd class medal;Genre Painting;Oil on canvas;160cm x 200cm;
552;Balleroy de, Albert;Un cerf à l’hallali;1867;58;Unique medal;Genre Painting;;;
338;Balze, Paul;"L’Eternel bénissant le monde, d’après une fresque de Raphaël ; faïence";1863;1925;3rd class medal;History Painting;;;
337;Balze, Paul;"La Source, d’après M. Ingres ; émail";1863;1926;3rd class medal;History Painting;Enamel;;
336;Balze, Paul;"La Madone de Contestabile, d’après Raphaël ; émail";1863;1927;3rd class medal;History Painting;Enamel;;
553;Barillot, Léon;Les étangs de Saint-Paul-de-Varax;1880;156;3rd class medal;Landscape;Oil on canvas;300cm x 180cm;Ameins, musée de Picardie
554;Barillot, Léon;Halte à l'auberge de Villiers-sur-Morin;1880;157;3rd class medal;Landscape;Oil on canvas;47cm x 30cm;
340;Baron, Henri;Un printemps en Toscane;1848;201;2nd class medal;Landscape;Oil on canvas;66cm x 55cm;Lille, palais des Beaux-arts
339;Baron, Henri;Enfant vendu par des pirates;1848;202;2nd class medal;Genre Painting;Oil on canvas;65cm x 54cm;Luxembourg, collection de la Ville
555;Barrias, Félix;Les exilés de Tibère;1850-1851;108;1st class medal;History Painting;Oil on canvas;416cm x 253cm;Paris, musée d'Orsay
557;Barrias, Félix;Portraits de Mlles G... (d’Albano).;1850-1851;109;1st class medal;Portrait;;;
556;Barrias, Félix;Portrait de Mme D…;1850-1851;110;1st class medal;Portrait;;;
558;Bastien-Lepage, Jules;La chanson du printemps;1874;83;3rd class medal;Genre Painting;Oil on canvas;100cm x 148cm;Verdun, musée de la Princerie
559;Bastien-Lepage, Jules;"Portrait de ""mon grand-père""";1874;84;3rd class medal;Portrait;Oil on canvas;77cm x 103cm;Nice, musée des beaux-arts
560;Bastien-Lepage, Jules;La communiante;1875;96;2nd class medal;Genre Painting;Oil on canvas;35cm x 50cm;Tournai, musée des beaux-arts
561;Bastien-Lepage, Jules;Portrait de M. Simon Hayem;1875;97;2nd class medal;Portrait;Oil on canvas;80cm x 105cm;Hazebrouk, musée municipal
26;Baudit, Amédée;Pâturages en Bretagne (Morbihan);1859;162;3rd class medal;Landscape;;;
25;Baudit, Amédée;Le viatique en Bretagne (Morbihan);1859;163;3rd class medal;Landscape;;;
27;Baudit, Amédée;Les prés;1859;164;3rd class medal;Landscape;;;
28;Baudit, Amédée;Débarquement de fourrage sur les bords du Rhin, lever de lune;1861;147;Rappel of 3rd class medal;Landscape;;;
30;Baudit, Amédée;Soleil couchant sur les bords du lac de Genève;1861;148;Rappel of 3rd class medal;Landscape;;;
29;Baudit, Amédée;La Dent du midi (vallée du Rhône);1861;149;Rappel of 3rd class medal;Landscape;;;
31;Baudit, Amédée;Solitude en Bretagne;1861;150;Rappel of 3rd class medal;Landscape;;;
566;Baudry, Paul;Supplice d’une vestale;1857;123;1st class medal;History Painting;Oil on canvas;304cm x 443cm;Lille, palais des Beaux-arts
562;Baudry, Paul;La fortune et le jeune enfant;1857;124;1st class medal;History Painting;Oil on canvas;148cm x 194cm;Paris, musée d'Orsay
565;Baudry, Paul;Saint Jean-Baptiste;1857;125;1st class medal;History Painting;;;
563;Baudry, Paul;Léda;1857;126;1st class medal;History Painting;;;
564;Baudry, Paul;Portrait de M. E. Beulé;1857;127;1st class medal;Portrait;Oil on canvas;85cm x 100cm;Angers, musée des beaux-arts
568;Baudry, Paul;Charlotte Corday;1861;151;Rappel of 1st class medal;History Painting;Oil on canvas;154cm x 203cm;Nantes, musée des beaux-arts
569;Baudry, Paul;Cybèle;1861;152;Rappel of 1st class medal;History Painting;;;
567;Baudry, Paul;Amphitrite;1861;153;Rappel of 1st class medal;History Painting;;;
570;Baudry, Paul;Portrait de M. Guizot;1861;154;Rappel of 1st class medal;Portrait;Oil on canvas;83cm x 106cm;La Roche sur Yon, musée municipal
571;Baudry, Paul;Portrait de M. le baron Ch. Dupin;1861;155;Rappel of 1st class medal;Portrait;Oil on canvas;80cm x 98cm;
572;Baudry, Paul;Portrait de M. le M[arqu]is B. C. de La F…;1861;156;Rappel of 1st class medal;Portrait;;;
573;Baudry, Paul;Portrait de Mlle Madeleine Brohan, de la Comédie Française;1861;157;Rappel of 1st class medal;Portrait;Oil on canvas;83cm x 106cm;Paris, musée d'Orsay
574;Baudry, Paul;Portrait du fils de Mme la comtesse Swieytowska, en petit saint Jean;1861;158;Rappel of 1st class medal;Portrait;Oil on canvas;82cm x 115cm;
341;Beaucé, Jean-Adolphe;Bataille de Solferino, 24 juin 1859;1861;168;2nd class medal;History Painting;Oil on canvas;484cm x 233cm;
342;Beaucé, Jean-Adolphe;Portrait de M. le général Canrobert, commandant en chef l’armée d’Orient;1861;169;2nd class medal;Portrait;;;
343;Beaulieu, Anatole de;L’oeuf d’autruche;1868;158;Unique medal;Genre Painting;;;
575;Beaumetz, Étienne;Les voilà ! - 1870;1880;202;3rd class medal;History Painting;Oil on canvas;195cm x 155cm;
577;Beaumont de, Édouard de;"""Quoerens quem devoret""";1870;172;Unique medal;Genre Painting;;;
576;Beaumont de, Édouard de;"""Les femmes sont chères !""";1870;173;Unique medal;Genre Painting;;;
579;Beaumont de, Édouard de;Fin d’une chanson;1873;71;2nd class medal;Genre Painting;;;
578;Beaumont de, Édouard de;"""Où diable l’amour va-t-il se nicher !""";1873;72;2nd class medal;Genre Painting;;;
581;Beauverie, Charles;Lever de lune, dans le Dauphiné;1877;145;3rd class medal;Landscape;Oil on canvas;207cm x 127cm;Lyon, musée des beaux-arts
580;Beauverie, Charles;La vallée d'Amby (Dauphiné), le matin;1877;146;3rd class medal;Landscape;;;
582;Becker, Georges;Oreste et les Furies;1870;180;Unique medal;History Painting;Oil on canvas;403cm x 324cm;Amiens, musée de Picardie
583;Becker, Georges;La veuve du martyr;1872;87;2nd class medal;Genre Painting;;223cm x 320cm;Narbonne, musée d'Art et d'histoire
584;Bellanger, Camille;Abel;1875;132;2nd class medal;History Painting;Oil on canvas;215cm x 110cm;Paris, musée d'Orsay
585;Bellanger, Camille;Portrait du colonel P…;1875;133;2nd class medal;Portrait;;;
587;Bellay, Charles-Paul;"L’Ecole d’Athènes, d’après la fresque de Raphaël ; aquarelle";1866;2046;Unique medal;History Painting;Watercolour;41cm x 32cm;
586;Bellay, Charles-Paul;"La dispute du Saint-Sacrement, d’après la fresque de Raphaël ; aquarelle";1866;2047;Unique medal;History Painting;Watercolour;;
588;Bellay, Charles-Paul;Portrait de M. Schnetz, directeur de l’Ecole de Rome;1866;3088;Unique medal;Portrait;Etching;;
589;Bellay, Charles-Paul;"Galatée, d’après Raphaël ; aquarelle";1867;1611;Unique medal;History Painting;Watercolour;;
590;Bellay, Charles-Paul;"La transfiguration, d’après Raphaël ; aquarelle";1867;1611;Unique medal;History Painting;Watercolour;;
591;Bellay, Charles-Paul;"La Cène, d’après la fresque de Léonard de Vinci ; aquarelle";1869;2509;Unique medal;History Painting;Watercolour;;
592;Bellay, Charles-Paul;"Une fille du peuple à Rome ; gouache";1869;2510;Unique medal;Genre Painting;;;
2619;Bellel, Jean-Joseph;"Souvenirs d'Italie ; onze dessins au fusin [sic, pour : fusain], même numéro";1848;259;1st class medal;Landscape;Drawing;;
2618;Bellel, Jean-Joseph;"Paysages composés ; deux dessins au fusin [sic, pour : fusain], même numéro";1848;260;1st class medal;Landscape;Drawing;;
596;Belly, Léon;Village de Giseh (Egypte);1857;158;3rd class medal;Landscape;;;
593;Belly, Léon;Désert de Nassoub (Sinaï);1857;159;3rd class medal;Landscape;;;
594;Belly, Léon;Inondation en Egypte;1857;160;3rd class medal;Landscape;;;
595;Belly, Léon;Tête d’étude;1857;161;3rd class medal;Portrait;;;
598;Belly, Léon;Le Nil, soleil couchant (Egypte);1859;215;2nd class medal;Landscape;Oil on canvas;99cm x 65cm;Le Caire, club des diplomates
597;Belly, Léon;Barques du Nil;1859;216;2nd class medal;Landscape;;;
599;Belly, Léon;Plaine de Djiseh, soleil couchant (Egypte);1859;217;2nd class medal;Landscape;;;
600;Belly, Léon;Une digue au bord du Nil;1859;218;2nd class medal;Landscape;;;
603;Belly, Léon;Effet du soir dans le désert de Tyh (Sinaï);1861;210;1st class medal;Landscape;;;
604;Belly, Léon;Les abords d’un village égyptien;1861;211;1st class medal;Landscape;;;
602;Belly, Léon;Bords du Nil (Egypte);1861;212;1st class medal;Landscape;;;
601;Belly, Léon;Avenue de Choubrah, environs du Caire;1861;213;1st class medal;Landscape;;;
605;Belly, Léon;Pèlerins allant à la Mecque;1861;214;1st class medal;Genre Painting;Oil on canvas;242cm x 160cm;Paris, musée d'Orsay
606;Belly, Léon;Portrait de la marquise de ... et de sa fille;1861;215;1st class medal;Portrait;;;
607;Benner, Jean;Après une tempête, à Capri;1872;102;2nd class medal;Genre Painting;;;Belfort, musée
346;Bénouville, Achille;Saint-Pierre de Rome, vu de la villa Borghèse;1863;135;1st class medal;Landscape;Oil on canvas;110cm x 60cm;Paris, musée du Louvre
344;Bénouville, Achille;Le Colysée, vu des jardins Farnèse;1863;136;1st class medal;Landscape;;;
345;Bénouville, Achille;L’Anio, près Tivoli;1863;137;1st class medal;Landscape;;;
608;Bénouville, François-Léon;Départ de Protésilas;1852;81;2nd class medal;History Painting;Oil on canvas;220cm x 305cm;
609;Bénouville, François-Léon;"Martyrs conduits au supplice ; esquisse";1852;82;2nd class medal;History Painting;Drawing;106cm x 121cm;Paris, musée du Louvre
610;Bénouville, François-Léon;Portrait de Mme V... L…;1852;83;2nd class medal;Portrait;Oil on canvas;115cm x 120cm;
613;Bénouville, François-Léon;Saint François-d’Assise, transporté mourant à Sainte-Marie des Anges, bénit la ville d’Assise;1853;79;1st class medal;History Painting;Oil on canvas;241cm x 91cm;Paris, musée d'Orsay
612;Bénouville, François-Léon;Portrait de Mme de S…;1853;80;1st class medal;Portrait;Oil on canvas;110cm x 150cm;
611;Bénouville, François-Léon;Portrait de M. E. D..., dessin;1853;81;1st class medal;Portrait;Drawing;;
347;Béranger, Jean-Achille;La leçon de lecture;1848;283;2nd class medal;Genre Painting;;;
348;Béranger, Jean-Achille;Le lendemain du bal;1848;284;2nd class medal;Genre Painting;;;
349;Béranger, Jean-Achille;Une grisette cachant une lettre dans son corset;1848;285;2nd class medal;Genre Painting;;;
352;Berchère, Narcisse;Le Simoun (Egypte);1859;235;3rd class medal;Landscape;;;
350;Berchère, Narcisse;Colosses de Memnon et plaine de Thèbes pendant l’inondation du Nil (Egypte);1859;236;3rd class medal;Landscape;;;
353;Berchère, Narcisse;Tombeaux de la vallée des Califes, au Caire;1859;237;3rd class medal;Landscape;;;
351;Berchère, Narcisse;"Douar ; désert du Sinaï (Arabie) ; effet du soir";1859;238;3rd class medal;Landscape;;;
355;Berchère, Narcisse;Passage d’une caravane au gué de la mer Rouge, à Suez;1861;226;Rappel of 3rd class medal;Genre Painting;;;
357;Berchère, Narcisse;Temple d’Hermonthis (Herment, Haute-Egypte);1861;227;Rappel of 3rd class medal;Landscape;;;
356;Berchère, Narcisse;Ruines du temple de Ramsès-le-Grand (Sésostris, à Louqsor, Thèbes);1861;228;Rappel of 3rd class medal;Landscape;;;
354;Berchère, Narcisse;"Basse-Egypte ; environs de Damiette";1861;229;Rappel of 3rd class medal;Landscape;;;
359;Berchère, Narcisse;Crépuscule (Nubie inférieure);1864;143;Unique medal;Landscape;Oil on canvas;142cm x 98cm;Destroyed
358;Berchère, Narcisse;Après le Simoun. Presqu’île du Sinaï (Arabie);1864;144;Unique medal;Landscape;;;
615;Bergeret, Denis;Le dessert;1875;163;3rd class medal;Still Life;;;
614;Bergeret, Denis;La langouste;1875;164;3rd class medal;Still Life;;;
617;Bergeret, Denis;Les crevettes;1877;176;2nd class medal;Still Life;;;
616;Bergeret, Denis;Les apprêts du dessert;1877;177;2nd class medal;Still Life;;;
618;Berne-Bellecour, Étienne;Désarçonné…;1869;204;Unique medal;Genre Painting;;;
619;Berne-Bellecour, Étienne;Un sonnet;1869;205;Unique medal;Genre Painting;;;
620;Berne-Bellecour, Étienne;Un coup de canon;1872;112;1st class medal;History Painting;Oil on canvas;96cm x 57cm;
621;Berne-Bellecour, Étienne;"Un nid d’amoureux ; aquarelle";1872;113;1st class medal;Genre Painting;Watercolour;;
623;Bernier, Camille;Landes, près de Bannalec (Bretagne);1867;120;Unique medal;Landscape;;;Nice, préfecture
622;Bernier, Camille;Abord de ferme en Bretagne;1867;121;Unique medal;Landscape;;;
625;Bernier, Camille;Sentier dans les genêts, près Bannalec (Finistère);1868;208;Unique medal;Landscape;;;Colmar, musée Unterliden
624;Bernier, Camille;Etang de Quimerc’h, près Bannalec (Finistère);1868;209;Unique medal;Landscape;;;
627;Bernier, Camille;"Lande de Kerlagadic ; Bretagne";1869;206;Unique medal;Landscape;;;
626;Bernier, Camille;Fontaine en Bretagne;1869;207;Unique medal;Landscape;Oil on canvas;172cm x 103cm;Colmar, musée Unterliden
629;Berthon, Nicolas;Pendant la messe, souvenir d’Auvergne;1866;144;Unique medal;Genre Painting;;;Arras, musée des beaux-arts
628;Berthon, Nicolas;Paysan auvergnat;1866;145;Unique medal;Portrait;;;
630;Bertrand, James;Conversion de sainte Thaïs;1861;252;3rd class medal;History Painting;;;
633;Bertrand, James;Les Frères de la Mort recueillant un homme assassiné dans la campagne de Rome;1863;157;Rappel of 3rd class medal;History Painting;;;
631;Bertrand, James;Diogène chez Laïs;1863;158;Rappel of 3rd class medal;History Painting;;;
632;Bertrand, James;Femmes d’Alvito en pèlerinage pour Saint-Pierre de Rome;1863;158;Rappel of 3rd class medal;Genre Painting;;;
635;Bertrand, James;Mort de Virginie;1869;217;Unique medal;History Painting;Oil on canvas;186cm x 86cm;Chateauroux, musée
634;Bertrand, James;La petite curieuse;1869;218;Unique medal;Genre Painting;;;
636;Besnard, Albert;L'Automne;1874;164;3rd class medal;History Painting;Oil on canvas;170cm x 170cm;Limoges, musée de l'Evéché
637;Besnard, Albert;Portrait de Mlle G…;1874;165;3rd class medal;Portrait;;;
638;Besnard, Albert;"Après la défaite ; épisode d'une invasion au Vè siècle";1880;304;2nd class medal;History Painting;Oil on canvas;600cm x 430cm;Destroyed
639;Besnard, Albert;Portrait de Mlle Melcy, du théâtre du Gymnase;1880;305;2nd class medal;Portrait;Oil on canvas;151cm x 220cm;
360;Besnard, Louise;"Trois miniatures ; même numéro : / Portrait de petite fille / Portrait de femme / Portrait de jeune enfant";1859;254;Rappel of 3rd class medal;Portrait;Miniature;;
640;Betsellère, Émile;Jésus calmant la tempête;1878;219;3rd class medal;History Painting;Oil on canvas;;Aurillac, musée d'art et d'archéologie
362;Bezard, Jean-Louis;Le 15 août, dessin;1857;208;Rappel of 1st class medal;History Painting;Drawing;;
361;Bezard, Jean-Louis;La paix, dessin;1857;209;Rappel of 1st class medal;History Painting;Drawing;;
363;Bezard, Jean-Louis;"Les saints martyrs d’Agen ; dessins";1859;261;Rappel of 1st class medal;History Painting;Drawing;;
2592;Bianchi, Nina;"Idem [Portrait] de femme; idem [pastel]";1848;;2nd class medal;Portrait;Pastel;;
2593;Bianchi, Nina;"Portrait d'enfant ; idem [pastel]";1848;;2nd class medal;Portrait;Pastel;;
2594;Bianchi, Nina;"Tête d'enfant ; idem [pastel]";1848;;2nd class medal;Portrait;Pastel;;
2595;Bianchi, Nina;"Tête de femme ; idem [pastel]";1848;;2nd class medal;Portrait;Pastel;;
2596;Bianchi, Nina;"Un arabe ; pastel";1848;;2nd class medal;Portrait;Pastel;;
367;Biard, François-Auguste;Les prisonniers au Sahara;1848;353;2nd class medal;Genre Painting;;;
369;Biard, François-Auguste;Promenade artistique au rocher d'Hestmandoë par le travers du cercle polaire, en 1839;1848;354;2nd class medal;Genre Painting;;;
365;Biard, François-Auguste;Le propriétaire;1848;355;2nd class medal;Genre Painting;;;
364;Biard, François-Auguste;Le conseil de révision en 1847;1848;356;2nd class medal;History Painting;;;
366;Biard, François-Auguste;Les dangers de l'histoire naturelle;1848;357;2nd class medal;Genre Painting;;;
368;Biard, François-Auguste;Mlle L. B... de la Comédie-Française;1848;358;2nd class medal;Portrait;;;
374;Bida, Alexandre;"Une odalisque ; dessin";1848;359;2nd class medal;Genre Painting;Drawing;;
371;Bida, Alexandre;"Femmes turques dans un cimetière ; dessin";1848;360;2nd class medal;Genre Painting;Drawing;;
370;Bida, Alexandre;"Boutique à Constantinople ; idem [dessin]";1848;361;2nd class medal;Genre Painting;Drawing;;
373;Bida, Alexandre;"Un poste de Palikares; idem [dessin]";1848;362;2nd class medal;Genre Painting;Drawing;;
372;Bida, Alexandre;"Le chanteur grec ; idem [dessin] / (Scènes de la Vie Orientale, par M. Gérard de Nerval)";1848;363;2nd class medal;Portrait;Drawing;;Malmaison, Château
641;Biennourry, Victor;Jésus-Christ au jardin des Oliviers;1864;169;Unique medal;History Painting;;;
642;Billet, Pierre;Coupeuses d’herbes;1873;122;3rd class medal;Genre Painting;;;
643;Billet, Pierre;Retour du marché;1873;123;3rd class medal;Genre Painting;;;
644;Billet, Pierre;Ramasseuses de bois;1874;180;2nd class medal;Genre Painting;Oil on canvas;149cm x 114cm;
645;Billet, Pierre;Fraudeurs de tabac;1874;181;2nd class medal;Genre Painting;;;
647;Bin, Émile;Jésus reconnu par Sainte-Madeleine dans le jardin du sépulcre;1865;195;Unique medal;History Painting;;;
646;Bin, Émile;Persée et Andromède (Ovide, Métamorphoses, livre IV, fable XVIII);1865;196;Unique medal;History Painting;;;
649;Bin, Émile;Prométhée enchaîné. (Eschyle, Prométhée, scène Ire);1869;240;Unique medal;History Painting;;;Missing
648;Bin, Émile;Portrait de M. Savoy;1869;241;Unique medal;Portrait;;;
650;Blanc, Joseph;Persée;1870;274;Unique medal;History Painting;Oil on canvas;174cm x 302cm;Paris, musée d'Orsay
651;Blanc, Joseph;L’enlèvement du Palladium;1872;148;1st class medal;History Painting;Oil on canvas;370cm x 525cm;Angers
652;Blanchard, Édouard-Théophile;Courtisane;1872;149;1st class medal;Genre Painting;;;
653;Blanchard, Édouard-Théophile;Hylas entraîné par les nymphes;1874;192;1st class medal;History Painting;Oil on canvas;367cm x 227cm;Destroyed
654;Blanchard, Édouard-Théophile;Hérodiade;1874;193;1st class medal;History Painting;;;
655;Blanchard, Édouard-Théophile;Portrait du jeune ***;1874;194;1st class medal;Portrait;;;
657;Blin, Francis;"Un vieux moulin à Guildo ; Bretagne";1865;210;Unique medal;Landscape;Oil on canvas;194cm x 132cm;Langres, musée d'art et d'histoire
656;Blin, Francis;Un soir d’été en Sologne;1865;211;Unique medal;Landscape;;;
658;Blin, Francis;L’Arguenon, à marée basse (Côtes-du-Nord);1866;183;Unique medal;Landscape;Oil on canvas;200cm x 135cm;Dunkerque, musée des beaux-arts
659;Blin, Francis;Saint-Briac, sur les côtes de Bretagne;1866;184;Unique medal;Landscape;;;
36;Bodmer, Karl;"Une famille d’ours dans les monts Alleghany ; aquarelle";1863;1962;Rappel of 2nd class medal;Genre Painting;Watercolour;;
35;Bodmer, Karl;"Dindons sauvages sous bois (Indiana) ; aquarelle";1863;1963;Rappel of 2nd class medal;Genre Painting;Watercolour;;
37;Bodmer, Karl;"Vue sur le Missouri, près Fort-Loewensworth (Amérique du Nord) ; aquarelle";1863;1964;Rappel of 2nd class medal;Landscape;Watercolour;;
33;Bodmer, Karl;Intérieur de forêt;1850-1851;268;2nd class medal;Landscape;;;
34;Bodmer, Karl;Intérieur de forêt;1850-1851;269;2nd class medal;Landscape;;;
32;Bodmer, Karl;Idem [Intérieur de forêt];1850-1851;270;2nd class medal;Landscape;;;
38;Böhn, Germann von;Hamlet et Ophélia;1849;961;2nd class medal;History Painting;;;
40;Böhn, Germann von;Une orpheline;1849;962;2nd class medal;Genre Painting;;;
